台1,#genre#
全民最大黨,http://www.336699.live:1935/blocksix/4gtv-live076.stream/chunklist.m3u8
欧美影院,http://39.136.48.4:8089/PLTV/88888888/224/3221226345/index.m3u8
亚洲影院,http://39.136.48.2:8089/PLTV/88888888/224/3221225844/index.m3u8
好莱坞影院2,http://117.148.179.182/PLTV/88888888/224/3221231699/index.m3u8
欧美影院,http://cache.ott.fifalive.itv.cmvideo.cn:80/7185203501769528108/index.m3u8?channel-id=wasusyt&Contentid=7185203501769528108&livemode=1&stbId=no
亚洲影院,http://cache.ott.fifalive.itv.cmvideo.cn:80/5841816227539527643/index.m3u8?channel-id=wasusyt&Contentid=5841816227539527643&livemode=1&stbId=no
东森电影,http://120.84.96.32:808/hls/32/index.m3u8#http://113.64.147.8:808/hls/58/index.m3u8
星卫电影,http://data.3g.yy.com/live/hls/29900720/29900720
隆化电影,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
龙华戏剧,http://59.125.98.83:8534/http/192.168.1.9:8066/hls/210/10010/cstv10.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华日韩,http://59.125.98.83:8535/http/192.168.1.9:8066/hls/210/10011/cstv11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华偶像,http://59.125.98.83:8536/http/192.168.1.9:8066/hls/210/10012/cstv12.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
精彩电视剧,http://111.20.33.93/TVOD/88888893/224/3221226012/index.m3u8
##

台,#genre#
CI罪案偵查頻道,http://line.premiumpowers.net:80/Manuel/1234567/941666
Crime+Investigation HD,http://daddyserver.com:8080/Libra/k5GP3C3lGo/93040
罪案侦辑台,http://50.7.218.42:8278/ci_twn/playlist.m3u8?tid=m2d09f7473c8214224973&ct=17877&tsum=eb2ddbfed683e40621e2b023bf017892
罪案侦辑[1280*720],http://50.7.218.42:8278/ci_twn/playlist.m3u8?tid=m2d09f7473c8214224973&ct=17877&tsum=eb2ddbfed683e40621e2b023bf017892
History 歷史頻道,http://line.premiumpowers.net:80/Manuel/1234567/941661
HISTORY,https://sjva.soa1.duckdns.org/klive/api/url.m3u8?m=url&s=wavve&i=C5901
History East HD,http://daddyserver.com:8080/Libra/k5GP3C3lGo/12027
HISTORY,http://abc123.digital:8080/Deacon68/uFHfwNRuHH/488026
Military History SD,http://daddyserver.com:8080/Libra/k5GP3C3lGo/1060
Crime + Investigation,http://45.92.69.77:8000/play/a02c/index.m3u8
